Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-September-2022,110.00,115.75,108.80,113.85,112.746869975697220336,564133,4924,63604230.00,138408,24.53,6.95,3.85
27-September-2022,108.60,112.00,108.40,110.70,110.156947855388657261,367689,3716,40503498.00,117469,31.95,3.60,2.10
26-September-2022,113.00,113.50,106.45,108.75,109.175820829253853685,702704,5673,76718286.00,209685,29.84,7.05,-4.25
23-September-2022,116.00,117.75,113.00,114.45,115.155437329823527180,342659,3192,39459047.00,68749,20.06,4.75,-1.55
22-September-2022,106.50,116.10,106.50,115.20,113.059869050987932377,515926,4689,58330526.00,114609,22.21,9.60,8.70
21-September-2022,111.00,111.00,105.95,108.35,108.238517371689224058,240276,1896,26007118.00,53247,22.16,5.05,-2.65
20-September-2022,112.00,114.85,108.05,109.40,112.556599592784160109,322679,2932,36319651.00,67195,20.82,6.80,-2.60
19-September-2022,103.80,113.25,102.50,110.35,109.212737489164667879,1337061,9404,146024092.00,303074,22.67,10.75,6.55
16-September-2022,108.10,110.75,100.35,103.10,104.681257762717356085,592576,5567,62031601.00,210174,35.47,10.40,-5.00
15-September-2022,109.95,111.90,105.15,108.60,107.839574950487615441,812423,6809,87611351.00,287901,35.44,6.75,-1.35
14-September-2022,98.85,114.50,98.75,109.35,108.847901173529997459,1747548,12196,190216932.00,296789,16.98,15.75,10.50
13-September-2022,92.05,102.90,92.05,101.15,99.025735850315600676,1738431,12334,172149409.00,812235,46.72,10.85,9.10
12-September-2022,89.25,91.75,88.95,91.55,90.700896862280147582,346653,2837,31441738.00,172417,49.74,2.80,2.30
9-September-2022,90.20,91.55,88.55,88.95,90.003249252064417941,345618,2602,31106743.00,157194,45.48,3.00,-1.25
8-September-2022,93.00,94.80,92.95,93.60,93.754751607942428439,117697,1368,11034653.00,48885,41.53,1.85,0.60
7-September-2022,92.00,94.25,92.00,93.50,93.506044334872448446,239315,2003,22377399.00,83731,34.99,2.25,1.50
6-September-2022,94.80,94.80,92.00,92.95,93.146823346080761983,125777,1212,11715728.00,49996,39.75,2.80,-1.85
5-September-2022,93.90,95.20,93.20,93.75,94.028154781187597004,206821,1963,19446997.00,110536,53.45,2.00,-0.15
2-September-2022,94.25,95.25,93.45,93.75,94.308518390493184727,214078,1668,20189379.00,121066,56.55,1.80,-0.50
1-September-2022,95.25,95.95,91.70,94.20,94.639729655908377744,314858,2751,29798076.00,121339,38.54,4.25,-1.05
30-August-2022,95.05,97.25,94.50,95.25,95.863012437581948960,401927,3241,38529933.00,165512,41.18,2.75,0.20
29-August-2022,90.05,95.85,90.00,94.55,93.566947211955648401,497840,3152,46581369.00,160982,32.34,5.85,4.50
26-August-2022,100.00,101.80,91.85,92.95,95.588972816017434998,618526,5095,59124265.00,172559,27.90,9.95,-7.05
25-August-2022,101.30,101.80,98.65,99.10,99.921788461917495023,304418,2395,30417991.00,78568,25.81,3.15,-2.20
24-August-2022,99.20,103.65,98.35,100.20,101.003521706861537708,613055,5234,61920714.00,145733,23.77,5.30,1.00
23-August-2022,90.05,99.50,90.05,98.65,96.719225229651680900,622791,5085,60235863.00,215400,34.59,9.45,8.60
22-August-2022,92.50,93.95,89.75,91.45,91.845159929701230228,355625,3488,32662435.00,94258,26.50,4.20,-1.05
19-August-2022,94.85,95.95,90.95,92.60,93.461897356143079315,293208,3161,27403776.00,130140,44.38,5.00,-2.25
18-August-2022,90.05,96.00,89.70,94.10,93.689180502330869436,605139,5559,56694977.00,237341,39.22,6.30,4.05
17-August-2022,91.20,92.50,89.45,90.15,91.127896940487742115,186533,2234,16998360.00,73890,39.61,3.05,-1.05
16-August-2022,92.50,94.10,90.60,91.45,92.159261460935199223,366724,3766,33797013.00,158938,43.34,3.50,-1.05
12-August-2022,92.60,97.90,91.30,92.45,94.286798850264701122,648845,5152,61177518.00,266075,41.01,6.60,-0.15
11-August-2022,88.40,93.15,85.00,92.60,89.754373733217513220,524952,4054,47116738.00,257978,49.14,8.15,4.20
10-August-2022,86.75,88.75,86.50,87.55,87.641324405546475457,151736,1943,13298344.00,76304,50.29,2.25,0.80
8-August-2022,88.50,89.75,86.05,86.65,88.051886607709359798,127663,1341,11240968.00,56855,44.54,3.70,-1.85
5-August-2022,88.30,89.70,87.55,88.35,88.470736086175942549,105830,1527,9362858.00,26731,25.26,2.15,0.05
4-August-2022,86.25,89.35,86.25,87.15,87.848540737008780768,111152,1376,9764541.00,28239,25.41,3.10,0.90
3-August-2022,88.55,89.65,85.75,86.60,87.262614998606077502,240329,2836,20971737.00,113353,47.17,3.90,-1.95
2-August-2022,89.55,90.60,88.15,88.70,89.492207844560003224,124035,1562,11100166.00,27795,22.41,2.45,-0.85
1-August-2022,92.00,92.60,88.85,89.55,90.333125374828434233,248447,3015,22442994.00,110609,44.52,3.75,-2.45
29-July-2022,89.70,94.55,87.90,91.00,91.238526766743100960,463579,4706,42296265.00,85078,18.35,6.65,1.30
28-July-2022,93.45,94.40,87.35,87.90,90.397527494159951704,190495,2233,17220277.00,96827,50.83,7.05,-5.55
27-July-2022,90.75,92.85,90.20,92.55,92.017969963749352667,115860,1254,10661202.00,44901,38.75,2.65,1.80
26-July-2022,93.80,94.05,90.75,91.30,91.956962670600684333,129469,1904,11905576.00,64518,49.83,3.30,-2.50
25-July-2022,92.50,95.30,92.00,93.45,93.792848202518215200,241282,2562,22630526.00,112330,46.56,3.30,0.95
22-July-2022,93.50,93.50,90.25,92.05,91.658140526436622438,274411,3435,25152002.00,128405,46.79,3.25,-1.45
21-July-2022,93.95,94.75,92.35,92.90,93.344090954799135200,159112,2118,14852165.00,49641,31.20,2.40,-1.05
20-July-2022,90.45,95.10,89.30,93.10,92.797723090407388806,515699,5006,47855693.00,216981,42.08,5.80,2.65
19-July-2022,89.85,90.90,88.05,89.15,89.511694030684672976,241619,2803,21627726.00,77557,32.10,2.85,-0.70
18-July-2022,86.10,91.00,86.10,90.45,89.163794240492415915,227450,2720,20280305.00,73271,32.21,4.90,4.35
15-July-2022,86.50,88.65,85.65,86.55,86.726717443527812435,107398,1842,9314276.00,19745,18.38,3.00,0.05
14-July-2022,85.45,87.50,83.70,86.65,85.385249126655777186,251619,3618,21484551.00,125089,49.71,3.80,1.20
13-July-2022,84.65,88.00,84.30,85.45,86.381912056737588652,176250,2531,15224812.00,43667,24.78,3.70,0.80
12-July-2022,83.55,86.55,81.50,85.45,84.293215820324254059,332332,4081,28013333.00,155058,46.66,5.05,1.90
11-July-2022,78.25,83.50,77.50,82.55,81.276082563879581553,273679,3260,22243557.00,140953,51.50,6.00,4.30
8-July-2022,79.70,79.70,77.80,78.15,78.329679944738659912,21715,576,1700929.00,7316,33.69,1.90,-1.55
7-July-2022,79.00,79.80,76.50,78.05,78.617704520020485195,105442,1657,8289608.00,57578,54.61,3.30,-0.95
6-July-2022,76.25,79.50,75.90,78.60,78.027629618951516025,104055,2043,8119165.00,24433,23.48,3.60,2.35
5-July-2022,77.85,78.70,76.55,76.95,77.487698244518302067,134493,2297,10421553.00,44235,32.89,2.15,-0.90
4-July-2022,75.40,77.05,74.65,76.75,76.344735817896851694,95067,1285,7257865.00,36306,38.19,2.40,1.35
1-July-2022,75.35,76.05,73.95,74.55,74.604086312936516209,86337,1197,6441093.00,26248,30.40,2.10,-0.80
30-June-2022,77.50,77.50,74.25,75.55,75.870911783372117622,141810,2021,10759254.00,37085,26.15,3.25,-1.95
29-June-2022,77.50,77.60,76.10,77.15,76.860266694293156523,135136,1727,10386589.00,37579,27.81,1.50,-0.35
28-June-2022,75.95,78.20,74.40,77.70,75.614416808666968905,319835,2531,24184137.00,86180,26.95,3.80,1.75
27-June-2022,73.60,76.20,73.60,75.45,75.118308557344219363,155796,2036,11703132.00,54026,34.68,2.60,1.85
24-June-2022,74.25,74.40,73.00,73.75,73.692442645074224021,44460,771,3276366.00,17143,38.56,1.40,-0.50
23-June-2022,68.55,75.00,68.55,73.25,72.386135666489781654,154526,2165,11185540.00,53089,34.36,6.45,4.70
22-June-2022,72.00,72.00,68.65,69.25,70.075302965666524466,63291,1469,4435136.00,23222,36.69,3.35,-2.75
21-June-2022,68.70,71.50,68.45,70.65,70.252098692460681965,125197,2128,8795352.00,35347,28.23,3.05,1.95
20-June-2022,70.85,72.00,66.50,67.60,68.596503769896676905,89525,1473,6141102.00,34321,38.34,5.50,-3.25
17-June-2022,72.50,73.20,69.75,71.30,71.644027583381695285,58586,1092,4197337.00,13525,23.09,3.45,-1.20
16-June-2022,77.45,77.45,72.10,73.05,74.396798276775947040,177342,2277,13193677.00,65121,36.72,5.35,-4.40
15-June-2022,77.70,77.70,75.50,76.20,76.514947790015734515,41946,862,3209496.00,9937,23.69,2.20,-1.50
14-June-2022,75.00,77.00,73.50,76.50,75.540568439285120677,114313,1564,8635269.00,22947,20.07,3.50,1.50
13-June-2022,75.40,75.75,72.50,73.35,74.486862873209658119,136217,2121,10146377.00,64550,47.39,3.25,-2.05
10-June-2022,77.05,78.75,76.65,76.85,77.570188432632610826,91810,1307,7121719.00,31185,33.97,2.10,-0.20
9-June-2022,78.55,79.00,77.05,77.40,77.745817031549155081,96104,1468,7471684.00,32944,34.28,1.95,-1.15
8-June-2022,80.45,80.45,78.40,78.95,79.134724971507408073,50013,670,3957765.00,12257,24.51,2.05,-1.50
7-June-2022,77.90,80.75,77.75,79.40,79.559171428571428571,140000,1601,11138284.00,59965,42.83,3.00,1.50
6-June-2022,80.20,81.50,77.75,78.35,79.030977404525592501,123122,1751,9730452.00,43881,35.64,3.75,-1.85
3-June-2022,83.20,83.20,80.60,80.75,81.211485993678921634,74038,990,6012736.00,23666,31.96,2.60,-2.45
2-June-2022,81.85,82.15,80.85,81.45,81.451030008110300081,92475,1071,7532184.00,20817,22.51,1.30,-0.40
1-June-2022,81.60,82.75,80.70,81.60,81.818861968597548477,97572,1223,7983230.00,24896,25.52,2.05,0.00
31-May-2022,80.40,82.45,80.10,80.55,81.145315775172735036,206096,2413,16723725.00,57157,27.73,2.35,0.15
30-May-2022,86.00,87.70,80.80,81.35,84.678218023374190658,442026,3186,37429974.00,72850,16.48,6.90,-4.65
27-May-2022,79.50,87.15,79.20,85.15,82.488840905683010946,333450,3306,27505904.00,130497,39.14,7.95,5.65
26-May-2022,82.20,82.20,73.25,79.00,76.642619203672250686,851358,5619,65250307.00,136553,16.04,8.95,-3.20
25-May-2022,84.80,86.45,81.90,82.35,83.494767435115035212,172382,2430,14392995.00,55757,32.34,4.55,-2.45
24-May-2022,84.00,88.20,83.25,85.60,86.422240855788898629,393555,3782,34011905.00,73572,18.69,4.95,1.60
23-May-2022,85.05,86.45,82.90,83.35,84.959136890085431355,150062,2108,12749138.00,63845,42.55,3.55,-1.70
20-May-2022,84.80,89.45,84.80,85.70,86.836362223431064533,270231,3118,23465877.00,48464,17.93,4.65,0.90
19-May-2022,82.90,86.50,81.10,84.75,84.717534817686732465,321891,3206,27269812.00,48893,15.19,5.40,1.85
18-May-2022,83.70,85.85,82.70,84.45,84.215512331170659211,305486,3220,25726660.00,52563,17.21,3.15,0.75
17-May-2022,78.00,84.45,77.95,83.70,81.591312422034194884,354322,3482,28909597.00,100558,28.38,6.50,5.70
16-May-2022,77.80,78.85,76.00,77.40,77.629656102986761970,274210,2112,21286828.00,71610,26.12,2.85,-0.40
13-May-2022,80.30,81.00,77.25,78.00,79.239024040146962616,362269,3421,28705842.00,116067,32.04,3.75,-2.30
12-May-2022,77.45,80.00,74.35,78.40,76.578464624012365787,469683,4316,35967603.00,107132,22.81,5.65,0.95
11-May-2022,78.10,82.90,72.90,76.05,76.812991077280955475,358523,3829,27539224.00,47085,13.13,10.00,-2.05
10-May-2022,79.70,83.25,79.70,80.95,81.755737059729557700,411622,3115,33652460.00,74925,18.20,3.55,1.25
9-May-2022,80.05,81.95,79.60,80.20,80.469792325972986851,167474,1782,13476598.00,34689,20.71,2.35,0.15
6-May-2022,85.00,85.00,80.05,81.50,81.151476739764228672,276115,2458,22407140.00,50676,18.35,4.95,-3.50
5-May-2022,88.00,89.00,83.00,83.50,86.539205794361386453,738373,4480,63898213.00,150245,20.35,6.00,-4.50
4-May-2022,88.00,90.70,85.50,87.15,88.240123027948740529,306597,2565,27054157.00,90161,29.41,5.20,-0.85
2-May-2022,86.40,89.10,84.45,87.10,86.462233089362437118,370536,3449,32037370.00,89009,24.02,4.65,0.70
29-April-2022,91.10,91.65,86.05,87.15,89.051058495587381622,356591,4097,31754806.00,153863,43.15,5.60,-3.95
28-April-2022,91.35,93.70,89.80,90.75,91.447348379509717852,550173,4194,50311862.00,149295,27.14,3.90,-0.60
27-April-2022,94.60,95.50,90.25,91.15,92.339983062917412475,311742,2790,28786251.00,96894,31.08,5.25,-3.45
26-April-2022,98.55,98.85,92.40,95.40,96.393097519338054514,489708,3184,47204471.00,149349,30.50,6.45,-3.15
25-April-2022,96.15,100.55,94.85,96.20,97.637993837975737126,1292757,9234,126222200.00,323061,24.99,5.70,0.05
22-April-2022,93.00,99.30,91.30,97.35,96.328857597818159849,1390386,10277,133934295.00,466798,33.57,8.00,4.35
21-April-2022,93.10,94.35,92.10,93.20,93.227314774936051802,267013,2807,24892905.00,76836,28.78,2.25,0.10
20-April-2022,93.10,94.40,90.50,91.35,92.587670210332414307,830590,6251,76902393.00,331129,39.87,3.90,-1.75
19-April-2022,90.65,97.25,90.00,92.70,94.547900397415331339,1021098,7844,96542672.00,240414,23.54,7.25,2.05
18-April-2022,90.75,92.65,88.00,89.20,90.389094820294092970,727049,6713,65717301.00,334301,45.98,4.65,-1.55
13-April-2022,91.45,95.00,91.15,92.05,92.967250006755096237,777191,6195,72253310.00,248044,31.92,3.85,0.60
12-April-2022,86.80,93.90,86.20,90.45,89.968259557818899386,2436513,20681,219208834.00,887239,36.41,7.70,3.65
11-April-2022,78.40,86.60,78.35,85.95,83.916335138710818417,1393799,10700,116962504.00,671207,48.16,8.25,7.55
8-April-2022,80.30,80.45,78.05,78.35,79.158337032252916327,200509,2301,15871959.00,69770,34.80,2.40,-1.95
7-April-2022,80.00,80.70,77.75,78.25,79.241734925994308039,196066,2513,15536610.00,83091,42.38,2.95,-1.75
6-April-2022,80.80,82.30,79.50,79.80,80.752437325905292479,169448,2209,13683339.00,43191,25.49,2.80,-1.00
5-April-2022,79.10,83.25,79.10,81.00,81.669774938214867640,622318,5558,50824571.00,345260,55.48,4.15,1.90
4-April-2022,80.95,81.95,78.25,79.65,79.937077823411713378,265884,3414,21253990.00,56394,21.21,3.70,-1.30
1-April-2022,78.70,81.55,77.70,80.15,80.353124758693469923,466212,4415,37461591.00,251253,53.89,3.85,1.45
31-March-2022,76.95,79.70,75.90,78.10,78.103401107481506453,258063,2786,20155598.00,57289,22.20,3.80,1.15
30-March-2022,75.60,78.00,75.45,76.40,76.524668912087850707,179031,2066,13700288.00,47547,26.56,2.55,0.80
29-March-2022,75.35,78.10,73.95,76.65,76.887031224667870161,548957,4384,42207674.00,265855,48.43,4.15,1.30
28-March-2022,76.95,76.95,74.25,74.80,75.408249738869947379,355187,1925,26784030.00,277279,78.07,2.70,-2.15
25-March-2022,75.50,78.40,73.70,76.35,76.400594605496900914,515636,3557,39394897.00,260182,50.46,4.70,0.85
24-March-2022,73.10,75.95,73.05,73.80,74.465368019984355681,118893,1701,8853411.00,24902,20.94,2.90,0.70
23-March-2022,75.95,75.95,72.25,73.15,74.278862391968725713,171131,2036,12711416.00,76086,44.46,3.70,-2.80
22-March-2022,75.00,75.65,73.95,75.10,74.849330828622019288,222514,2542,16655024.00,89375,40.17,1.70,0.10
21-March-2022,75.00,77.50,74.20,75.20,75.863898876372097582,346823,3871,26311345.00,175863,50.71,3.30,0.20
17-March-2022,72.50,75.75,72.40,74.50,74.116058002584756439,246058,2404,18236849.00,116479,47.34,3.35,2.00
16-March-2022,72.00,72.30,70.10,71.45,71.182916107537827957,237721,2866,16921674.00,97953,41.20,2.20,-0.55
15-March-2022,71.70,73.20,69.25,70.70,71.592176218957474401,258315,2990,18493333.00,110066,42.61,3.95,-1.00
14-March-2022,68.20,71.20,66.75,70.70,69.875057654470191909,342558,3118,23936260.00,112855,32.94,4.45,2.50
