Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-July-2022,2500.00,2531.65,2466.15,2475.25,2506.553456612314181369,77764,6916,194919623.00,32219,41.43,65.50,-24.75
6-July-2022,2407.00,2509.00,2400.45,2497.80,2464.203334727556180843,262990,28524,648060835.00,208966,79.46,108.55,90.80
5-July-2022,2380.00,2411.00,2372.45,2401.50,2391.183231622394976070,39491,3824,94430217.00,19906,50.41,38.55,21.50
4-July-2022,2282.80,2378.95,2278.00,2374.80,2338.539562658485427167,127772,15595,298799877.00,81874,64.08,100.95,92.00
1-July-2022,2218.00,2292.75,2204.95,2282.80,2251.719587311364336310,19482,2205,43868001.00,5226,26.82,87.80,64.80
30-June-2022,2229.00,2249.05,2213.75,2230.55,2229.748546677305368745,35092,4504,78246336.00,9842,28.05,35.30,1.55
29-June-2022,2280.00,2294.70,2226.15,2238.10,2252.304396952871566209,82307,7616,185380418.00,52725,64.06,68.55,-41.90
28-June-2022,2322.00,2322.90,2278.05,2318.25,2305.289530491095520777,25942,2189,59803821.00,11475,44.23,44.85,-3.75
27-June-2022,2310.00,2331.00,2299.00,2320.40,2325.062994489797894696,103263,4725,240092980.00,81660,79.08,32.00,10.40
24-June-2022,2255.00,2318.00,2255.00,2303.55,2297.338145354467152540,156968,6316,360608574.00,118124,75.25,63.00,48.55
23-June-2022,2210.00,2256.50,2192.45,2251.70,2235.965370227172981671,47849,5216,106988707.00,29540,61.74,64.05,41.70
22-June-2022,2198.00,2224.50,2190.00,2208.85,2208.831990668998411134,662737,4536,1463874687.00,644970,97.32,34.50,10.85
21-June-2022,2205.00,2231.40,2173.90,2204.90,2207.376937656110755481,79671,10058,175863928.00,34223,42.96,57.50,-0.10
20-June-2022,2111.35,2202.00,2109.00,2195.95,2177.293068205340509211,77296,9823,168296045.00,38164,49.37,93.00,84.60
17-June-2022,2160.00,2160.00,2100.00,2112.50,2128.465861337156188950,142302,9717,302884949.00,107576,75.60,60.00,-47.50
16-June-2022,2148.00,2164.00,2135.15,2146.40,2147.875118934348239771,75672,6670,162534006.00,43953,58.08,28.85,-1.60
15-June-2022,2165.00,2165.00,2131.25,2150.40,2148.697956712022093567,108991,9405,234188739.00,85973,78.88,33.75,-14.60
14-June-2022,2195.90,2213.35,2160.15,2172.25,2192.044309850175326745,53329,2729,116899531.00,38269,71.76,53.20,-23.65
13-June-2022,2161.00,2216.75,2156.05,2195.90,2201.503043450788769771,142437,10467,313575489.00,94502,66.35,60.70,34.90
10-June-2022,2175.00,2208.65,2163.10,2199.90,2193.987389726536995702,131718,4806,288987631.00,110002,83.51,45.55,24.90
9-June-2022,2177.50,2207.70,2171.20,2196.85,2199.428586915279960973,166041,8155,365195322.00,142848,86.03,36.50,19.35
8-June-2022,2221.00,2221.00,2187.00,2197.25,2203.603744527313928673,45453,3449,100160401.00,32152,70.74,34.00,-23.75
7-June-2022,2265.00,2265.00,2208.00,2211.50,2216.644896581871726242,130393,6151,289034978.00,107219,82.23,57.00,-53.50
6-June-2022,2279.00,2301.95,2248.00,2279.45,2274.007949553211201099,33461,4465,76090580.00,13228,39.53,53.95,0.45
3-June-2022,2284.00,2324.60,2266.00,2292.15,2298.849901078801000410,53578,7340,123167780.00,22767,42.49,58.60,8.15
2-June-2022,2299.00,2301.90,2257.70,2284.95,2275.222813224922089181,42677,5602,97099684.00,17297,40.53,44.20,-14.05
1-June-2022,2375.00,2413.00,2303.15,2308.70,2331.090144416271634880,90710,8294,211453187.00,66296,73.09,109.85,-66.30
31-May-2022,2351.00,2367.30,2304.55,2349.65,2330.412518416000714317,22399,2093,52198910.00,5855,26.14,62.75,-1.35
30-May-2022,2340.00,2364.95,2332.20,2348.65,2352.750021520185934406,23234,2956,54663794.00,10452,44.99,32.75,8.65
27-May-2022,2298.00,2334.75,2281.35,2330.30,2315.235023699388955513,105066,8469,243252483.00,71224,67.79,53.40,32.30
26-May-2022,2298.00,2298.00,2258.60,2281.35,2273.054219995445228877,109775,5967,249524527.00,90698,82.62,39.40,-16.65
25-May-2022,2324.00,2329.95,2286.35,2298.45,2300.691388782419828797,93924,6471,216090138.00,74635,79.46,43.60,-25.55
24-May-2022,2380.05,2380.05,2301.30,2309.05,2322.197974696080616009,121167,10304,281373762.00,61741,50.96,78.75,-71.00
23-May-2022,2320.00,2387.65,2314.25,2380.05,2366.599541459686664119,41872,4452,99094256.00,19640,46.90,73.40,60.05
20-May-2022,2283.00,2347.10,2283.00,2325.50,2323.813790186125211505,47280,3785,109869916.00,20613,43.60,64.10,42.50
19-May-2022,2251.00,2281.50,2250.00,2263.55,2267.498110817480944372,45787,3554,103821936.00,22183,48.45,31.50,12.55
18-May-2022,2234.00,2301.50,2234.00,2290.65,2274.817737690007303997,145126,12470,330135199.00,83499,57.54,67.50,56.65
17-May-2022,2232.00,2276.95,2223.65,2245.20,2257.436455947107840367,230053,12244,519330029.00,154037,66.96,53.30,13.20
16-May-2022,2190.00,2221.00,2172.60,2217.45,2207.654556096567870654,353658,6424,780754695.00,321093,90.79,48.40,27.45
13-May-2022,2156.00,2217.05,2152.80,2194.35,2197.972376436898056219,148062,11345,325436186.00,81829,55.27,64.25,38.35
12-May-2022,2157.00,2161.10,2108.55,2141.00,2135.221659919028340080,106704,6485,227836692.00,65473,61.36,52.55,-16.00
11-May-2022,2188.00,2189.00,2116.00,2163.35,2142.218603401969561324,55850,6734,119642909.00,22614,40.49,73.00,-24.65
10-May-2022,2115.55,2197.25,2115.00,2184.10,2178.913586527019539091,110087,3380,239870060.00,78471,71.28,82.25,68.55
9-May-2022,2106.00,2137.90,2106.00,2115.55,2121.388803190488731705,53158,7263,112768786.00,25385,47.75,31.90,9.55
6-May-2022,2106.00,2170.00,2106.00,2149.60,2142.272111942037582357,94406,11426,202243341.00,49118,52.03,64.00,43.60
5-May-2022,2175.00,2201.85,2154.60,2166.90,2182.640524172220459113,75624,4062,165060007.00,30199,39.93,47.25,-8.10
4-May-2022,2234.25,2250.00,2149.00,2169.75,2226.345989829907009379,991928,6268,2208374925.00,964004,97.18,101.00,-64.50
2-May-2022,2206.15,2251.70,2206.15,2228.45,2231.865750736015701668,91710,9520,204684408.00,44211,48.21,45.55,22.30
29-April-2022,2243.00,2289.00,2223.30,2237.10,2258.434997245646001949,47198,5359,106593615.00,14388,30.48,65.70,-5.90
28-April-2022,2204.00,2249.90,2165.55,2241.80,2218.439260287097147199,121074,8842,268595315.00,37637,31.09,84.35,37.80
27-April-2022,2143.40,2151.95,2104.85,2144.25,2124.761455506853127391,71865,4236,152695982.00,46528,64.74,47.10,0.85
26-April-2022,2139.00,2157.70,2120.60,2148.15,2136.381715642623924013,114546,10745,244713980.00,70127,61.22,37.10,9.15
25-April-2022,2100.00,2162.35,2047.55,2100.90,2093.898531922157733014,161095,15906,337316584.00,86297,53.57,114.80,0.90
22-April-2022,2190.00,2190.00,2120.10,2129.70,2165.010580109394338643,50094,3622,108454040.00,28414,56.72,69.90,-60.30
21-April-2022,2180.00,2203.25,2168.40,2196.85,2190.791703374573869077,26107,2522,57194999.00,13646,52.27,34.85,16.85
20-April-2022,2115.75,2168.00,2092.35,2164.45,2145.636324683323960258,74682,7737,160240412.00,36569,48.97,75.65,48.70
19-April-2022,2180.00,2205.30,2101.00,2115.75,2167.962951490440720943,138818,5617,300952281.00,99092,71.38,104.30,-64.25
18-April-2022,2140.00,2182.40,2135.40,2176.75,2166.372516181595980627,154651,12927,335031676.00,94631,61.19,47.00,36.75
13-April-2022,2135.00,2164.90,2131.00,2152.45,2143.000000000000000000,65027,3788,139352861.00,45280,69.63,33.90,17.45
12-April-2022,2150.00,2165.00,2125.00,2131.40,2142.339312471813672005,137478,11955,294524524.00,83908,61.03,40.00,-18.60
11-April-2022,2185.00,2194.85,2138.80,2164.10,2164.295718745714308763,123959,5100,268283933.00,94112,75.92,56.05,-20.90
8-April-2022,2176.90,2193.00,2163.05,2182.75,2179.894253181790053425,96958,8717,211358187.00,54535,56.25,29.95,5.85
7-April-2022,2137.55,2174.75,2137.55,2165.15,2162.482569589669664791,49253,3633,106508754.00,23335,47.38,37.20,27.60
6-April-2022,2138.00,2164.40,2123.00,2141.80,2146.849989240370131267,139410,12012,299292357.00,70646,50.67,41.40,3.80
5-April-2022,2149.45,2158.65,2127.70,2142.10,2144.763288885149819823,71319,4879,152962373.00,46417,65.08,30.95,-7.35
4-April-2022,2087.00,2132.50,2070.00,2127.05,2108.293379393577031882,180633,19199,380827358.00,108749,60.20,62.50,40.05
1-April-2022,2050.00,2085.00,2037.85,2080.40,2067.184970313582875474,139963,10724,289329410.00,91134,65.11,47.15,30.40
31-March-2022,2019.00,2054.00,2019.00,2048.85,2036.122537594585102646,62642,4703,127546788.00,27248,43.50,35.00,29.85
30-March-2022,1998.00,2018.00,1995.00,2015.45,2010.079581163584126414,178208,13012,358212262.00,103912,58.31,23.00,17.45
