Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-October-2022,3660.00,3720.00,3584.05,3707.40,3681.757730396119644300,19792,3006,72869349.00,8615,43.53,135.95,47.40
19-October-2022,3692.30,3744.85,3646.35,3663.85,3691.573515092502434274,12324,2353,45494952.00,5029,40.81,98.50,-28.45
18-October-2022,3679.95,3722.05,3639.40,3692.35,3692.719860051508819670,20579,3304,75992482.00,9759,47.42,82.65,12.40
17-October-2022,3620.00,3666.60,3595.00,3629.30,3646.313754887614843956,83374,1052,304007763.00,79727,95.63,71.60,9.30
14-October-2022,3569.05,3683.85,3569.00,3639.70,3647.038273675001822555,13717,2425,50026424.00,3461,25.23,114.85,70.65
13-October-2022,3600.00,3619.20,3501.90,3516.50,3538.600561676387988766,4629,946,16380182.00,1286,27.78,117.30,-83.50
12-October-2022,3538.05,3624.40,3538.05,3594.20,3580.712753167483584574,10813,1533,38718247.00,4450,41.15,86.35,56.15
11-October-2022,3600.00,3639.95,3521.00,3540.70,3567.159896935291283490,95474,4125,340571024.00,85745,89.81,118.95,-59.30
10-October-2022,3430.70,3580.00,3426.05,3563.80,3515.652604548789435069,13630,1650,47918345.00,2515,18.45,153.95,133.10
7-October-2022,3521.05,3551.65,3478.05,3487.85,3511.337792045657214196,16821,4201,59064213.00,7374,43.84,73.60,-33.20
6-October-2022,3350.05,3586.35,3350.05,3558.85,3503.743912659902955447,45340,6026,158859749.00,11926,26.30,236.30,208.80
4-October-2022,3210.05,3325.85,3210.05,3297.30,3288.716967889103351465,11398,2121,37484796.00,4609,40.44,115.80,87.25
3-October-2022,3235.00,3235.00,3177.00,3200.60,3206.195852534562211981,3472,964,11131912.00,909,26.18,58.00,-34.40
30-September-2022,3179.65,3290.00,3171.90,3239.05,3235.598452380952380952,16800,3862,54358054.00,5940,35.36,118.10,59.40
29-September-2022,3231.00,3297.00,3163.00,3228.25,3211.024581348901520970,19527,4541,62701677.00,6112,31.30,134.00,-2.75
28-September-2022,3179.95,3232.65,3135.90,3202.65,3203.740651801029159519,5830,1581,18677808.00,1058,18.15,96.75,22.70
27-September-2022,3200.00,3221.55,3135.70,3171.90,3176.321006436512580456,17090,3454,54283326.00,8141,47.64,85.85,-28.10
26-September-2022,3140.00,3236.25,3091.65,3179.35,3167.336654309545875810,8632,2225,27340450.00,1854,21.48,144.60,39.35
23-September-2022,3230.00,3257.05,3127.40,3145.90,3195.020898390583713668,12489,3333,39902616.00,4685,37.51,129.65,-84.10
